,name,price,total sales/mil,release date,developer,genre,rating,user rating,age,platforms,number of players
0,Rush: A Disney / Pixar Adventure,29.44,,"Oct 31, 2017",Asobo Studio,Miscellaneous/Adventure/General/Party / Minigame,68.0,5.6,E10+,XOne,No Online Multiplayer
1,Harvest Moon DS: Grand Bazaar,51.02,,"Aug 24, 2010",Marvelous Entertainment,Strategy/General/General/Management/Business / Tycoon,68.0,7.7,E,DS,-
2,NBA 2K21,36.48,,"Sep  4, 2020",Visual Concepts,Sports/Team/Basketball/Arcade,68.0,0.8,E,PS4,Up to 10
3,Blade & Soul,50.38,1.0,"Jan 19, 2016",NCSOFT,Massively Multiplayer Online/Fantasy/Role-Playing/Massively Multiplayer,68.0,4.6,M,PC,-
4,Cold Fear,,0.11,"Mar 15, 2005",Darkworks,Action Adventure/Horror,68.0,8.0,M,PS2,1 Player
5,Sonic Colors: Ultimate,27.99,,"Sep  7, 2021","Sega, Blind Squirrel Entertainment",Action/Platformer/2D/3D,68.0,3.9,E,NS,-
6,Nanotale - Typing Chronicles,None,,"Mar 31, 2021",Fishing Cactus,Adventure/General,68.0,-,-,PC,No Online Multiplayer
7,Hyper Scape,14.4,,"Aug 11, 2020",Ubisoft Montreal,Action/Shooter/First-Person/Tactical,68.0,4.1,T,PC,Up to more than 64
8,MARVEL Powers United VR,11.75,,"Jul 26, 2018",Sanzaru Games,Action/Shooter/Light Gun,68.0,6.6,-,PC,No Online Multiplayer
9,The Spectrum Retreat,None,,"Jul 13, 2018",Dan Smith Studios,Adventure/3D/First-Person,68.0,6.1,-,PC,No Online Multiplayer
10,Dark Arcana: The Carnival,28.75,,"Mar 17, 2017",Artifex Mundi,Puzzle/Hidden Object,68.0,-,T,XOne,No Online Multiplayer
11,Crimecraft: Bleedout,47.62,,"Dec  4, 2010",Vogster,Action/Shooter/Shooter/First-Person/Modern/Arcade,68.0,5.0,M,PC,-
12,Hannspree Ten Kate Honda: SBK-07 Superbike World Championship,11.22,,"Oct 29, 2007",Milestone S.r.l,Driving/Racing/Motorcycle/Street,68.0,8.2,E10+,PS2,1-2
13,Espire 1: VR Operative,None,,"Nov 22, 2019",Digital Lode,Action/Shooter/Light Gun,68.0,7.5,M,PC,No Online Multiplayer
14,Mercenaries Saga Chronicles,None,0.01,"Feb  8, 2018","RideonJapan,Inc.",Strategy/Miscellaneous/Turn-Based/Compilation/Tactics,68.0,7.7,T,NS,No Online Multiplayer
15,One Piece: Unlimited World Red - Deluxe Edition,45.7,,"Aug 25, 2017",Ganbarion,Action/General,68.0,6.2,T,PS4,-
16,Inside My Radio,37.53,,"May 11, 2015",Seaven Studio,Action/Platformer/2D,68.0,7.4,E10+,PC,No Online Multiplayer
17,Silent Hill: Downpour,55.13,0.32,"Mar 13, 2012",Konami,Action Adventure/Horror/Horror/Survival,68.0,7.3,M,X360,No Online Multiplayer
18,Nikopol: Secrets of the Immortals,None,,"Sep 20, 2008",White Birds Productions,Adventure/3D/Fantasy/Third-Person/Fantasy,68.0,5.5,T,PC,1 Player
19,UEFA EURO 2008,6.58,0.25,"May 19, 2008",EA Canada,Sports/Traditional/Team/Soccer/Sim/Sim,68.0,7.2,E,PSP,2
20,The Technomancer,10.23,0.05,"Jun 28, 2016",Spiders,Role-Playing/General/Western-Style,68.0,7.1,M,XOne,No Online Multiplayer
21,Gungnir,94.65,0.14,"Jun 12, 2012",Sting,Strategy/Turn-Based/General/General/Tactics,68.0,8.3,T,PSP,-
22,"Prinny 2: Dawn of Operation Panties, Dood!",None,0.11,"Jan 10, 2011",Nippon Ichi Software,Action/Platformer/Platformer/2D/2D,68.0,7.5,T,PSP,2
23,Zoo Tycoon,15.0,0.48,"Nov 22, 2013",Frontier Developments,Tycoon/Strategy/Management/Tycoon/Business / Tycoon,68.0,3.2,E,XOne,Up to 4
24,Cloudberry Kingdom,None,,"Jul 31, 2013",Pwnee Studios,Action/Platformer/Platformer/2D/2D,68.0,7.0,T,X360,-
25,Wallachia: Reign of Dracula,52.06,,"Oct 29, 2020",Migami Games,Action/Platformer/2D,68.0,-,T,NS,No Online Multiplayer
26,Stela,19.02,0.13,"Mar 13, 2020",SkyBox Labs,Action/Platformer/2D,68.0,5.9,-,PC,No Online Multiplayer
27,Call of Cthulhu: The Official Video Game,29.78,,"Oct  8, 2019","Cyanide, Saber3D",Role-Playing/General,68.0,7.4,M,NS,No Online Multiplayer
28,Killing Floor: Incursion,16.49,,"May  1, 2018",Tripwire Interactive,Action/Shooter/First-Person/Light Gun/Arcade,68.0,5.1,M,PS4,2
29,Black The Fall,15.33,,"Jul 11, 2017",Sand Sailor Studio,Action/General,68.0,6.5,T,XOne,No Online Multiplayer
30,Heart&Slash,29.05,,"Jun 24, 2016",AHEARTFULOFGAMES,Action/General/Beat-'Em-Up/3D,68.0,7.4,E10+,XOne,-
31,Master Spy,77.78,,"Sep  8, 2015",TURBOGUN,Action/Platformer/2D,68.0,8.5,-,PC,No Online Multiplayer
32,Shad'O,71.0,,"Sep  4, 2012",Okugi Studio,Strategy/Real-Time/General/Defense,68.0,6.6,-,PC,-
33,Castlevania: Harmony of Despair,62.0,,"Sep 27, 2011",Konami,Action Adventure/Fantasy/General/Fantasy,68.0,7.5,T,PS3,Up to 6
