,name,total sales/mil,release date,developer,genre,rating,user rating,age,platforms,number of players
0,Shift 2: Unleashed,,"Mar 29, 2011",Slightly Mad Studios,Driving/Racing/Simulation/GT / Street/GT / Street/Automobile,82,6.5,E10+,X360,Up to 12
1,No More Heroes 2: Desperate Struggle,,"Oct 28, 2020","Engine Software, Grasshopper Manufacture",Action/Beat-'Em-Up/3D,82,8.3,M,NS,No Online Multiplayer
2,Yooka-Laylee and the Impossible Lair,,"Oct  8, 2019",Playtonic Games,Action/Platformer/2D,82,7.1,E,PS4,No Online Multiplayer
3,LEGO The Lord of the Rings,1.06,"Nov 13, 2012",TT Games,Miscellaneous/Action Adventure/Adventure/General/General/Compilation/Linear,82,8.3,E10+,PS3,No Online Multiplayer
4,Iron Brigade,,"Jun 22, 2011",Double Fine Productions,Action/Strategy/General/Real-Time/General/Defense,82,8.1,T,X360,-
5,Tomb Raider: Legend,0.02,"Apr 11, 2006",Nixxes Software,Action Adventure/Modern/Modern/Linear,82,7.9,T,PC,No Online Multiplayer
6,Peter Jackson's King Kong: The Official Game of the Movie,2.04,"Nov 21, 2005",Ubisoft Montpellier,Action Adventure/Modern,82,8.4,T,PS2,1 Player
7,Asheron's Call 2: Fallen Kings,,"Nov 20, 2002",Turbine Inc.,Role-Playing/Massively Multiplayer Online/Massively Multiplayer/Fantasy/Fantasy,82,7.2,M,PC,Massively Multiplayer
8,Super Monkey Ball Jr.,,"Nov 19, 2002",Realism Ltd,Miscellaneous/Puzzle/General,82,7.6,E,Game Boy Advance,1-4
9,WWE SmackDown! Shut Your Mouth,,"Oct 31, 2002",Yuke's,Action/Fighting/Wrestling,82,8.6,T,PS2,1-6
10,Tom Clancy's The Division 2,,"Mar 12, 2019",Massive Entertainment,First-Person/Action/Shooter/Third-Person/Tactical,82,5.9,M,XOne,Up to 16
11,Hotline Miami Collection,,"Aug 19, 2019",Dennaton,Miscellaneous/Compilation,82,7.8,M,NS,No Online Multiplayer
